control_number,species_code,taxa,class,genus,species,subspecies,specific_name,generic_name,description,quantity,unit,value,country_origin,country_imp_exp,purpose,source,action,disposition,disposition_date,disposition_year,shipment_date,shipment_year,import_export,port,us_co,foreign_co,cleaning_notes
NA,TRIT,amphibian,Amphibia,Triturus,sp.,NA,NA,NEWT,LIV,50,NO,NA,HK,HK,T,W,C,C,1999-08-15,1999,1999-08-15,1999,I,LA,NA,NA,NA
NA,HYMB,amphibian,Amphibia,Hymenochirus,boettgeri,NA,ZAIRE DWARF CLAWED,FROG,LIV,125,NO,NA,HK,HK,T,W,C,C,1999-08-15,1999,1999-08-15,1999,I,LA,NA,NA,NA
NA,XELA,amphibian,Amphibia,Xenopus,laevis,NA,AFRICAN CLAWED,TOAD,LIV,875,NO,NA,HK,HK,T,W,C,C,1999-06-08,1999,1999-06-05,1999,I,NY,NA,NA,NA
NA,BOOR,amphibian,Amphibia,Bombina,orientalis,NA,ORIENTAL FIREBELLY,TOAD,LIV,225,NO,NA,HK,HK,T,W,C,C,1999-06-08,1999,1999-06-05,1999,I,NY,NA,NA,NA
NA,BUFO,amphibian,Amphibia,Bufo,sp.,NA,NA,TOAD,LIV,100,NO,NA,TH,TH,T,W,C,C,1999-06-09,1999,1999-06-09,1999,I,LA,NA,NA,NA
NA,RANA,amphibian,Amphibia,Rana,sp.,NA,NA,FROG,LIV,345,NO,NA,TH,TH,T,W,C,C,1999-06-09,1999,1999-06-09,1999,I,LA,NA,NA,NA
NA,KALO,amphibian,Amphibia,Kaloula,pulchra,NA,ASIATIC PAINTED,FROG,LIV,260,NO,NA,TH,TH,T,W,C,C,1999-06-09,1999,1999-06-09,1999,I,LA,NA,NA,NA
NA,MEGO,amphibian,Amphibia,Megophrys,sp.,NA,SPADEFOOT,TOAD,LIV,12,NO,NA,TH,TH,T,W,C,C,1999-06-09,1999,1999-06-09,1999,I,LA,NA,NA,NA
NA,BOOR,amphibian,Amphibia,Bombina,orientalis,NA,ORIENTAL FIREBELLY,TOAD,LIV,1200,NO,NA,CN,CN,T,W,C,C,1999-08-08,1999,1999-08-08,1999,I,LA,NA,NA,NA
NA,HYLA,amphibian,Amphibia,Hyla,sp.,NA,TREE,FROG,LIV,400,NO,NA,CN,CN,T,W,C,C,1999-08-08,1999,1999-08-08,1999,I,LA,NA,NA,NA
NA,CYOR,amphibian,Amphibia,Cynops,orientalis,NA,CHINESE DWARF,NEWT,LIV,6000,NO,NA,CN,CN,T,W,C,C,1999-08-08,1999,1999-08-08,1999,I,LA,NA,NA,NA
